Team;Month;Year;Count
A;4;1;3
A;5;1;3
A;6;1;3
A;7;1;3
A;8;1;67,09
A;9;1;64,31
A;10;1;67,22
A;11;1;67,22
A;12;1;61,83
A;1;1;63,39
A;2;1;63,39
A;3;1;62,91
A;4;2;79,89
A;5;2;82,94
A;6;2;79,94
A;7;2;78,77
A;8;2;81,77
A;9;2;80
A;10;2;82,2
A;11;2;82,73
A;12;2;84,73
A;1;2;84,69
A;2;2;83,96
A;3;2;85,09
A;4;3;86,09
A;5;3;84,14
A;6;3;85,14
A;7;3;85,14
A;8;3;84,14
A;9;3;83,64
A;10;3;84,5
A;11;3;119,81
A;12;3;119,65
A;1;3;120,23
A;2;3;129,07
A;3;3;118,13
A;4;4;120,55
A;5;4;121,57
A;6;4;128,08
A;7;4;128,99
A;8;4;135,01
A;9;4;133,54
A;10;4;135,42
A;11;4;132,93
A;12;4;133,7
A;1;4;133
A;2;4;134,55
A;3;4;133,93
A;4;5;134,5
A;5;5;133,28
B;4;1;446,95
B;5;1;449,57
B;6;1;455,66
B;7;1;456,07
B;8;1;430,76
B;9;1;432,26
B;10;1;430,52
B;11;1;428,64
B;12;1;425,86
B;1;1;421,31
B;2;1;422,85
B;3;1;419,41
B;4;2;400,54
B;5;2;390,43
B;6;2;369,95
B;7;2;359,2
B;8;2;350,2
B;9;2;352,27
B;10;2;355,54
B;11;2;343,69
B;12;2;342,19
B;1;2;337,88
B;2;2;340,93
B;3;2;337,35
B;4;3;357,28
B;5;3;355,17
B;6;3;337,42
B;7;3;329,39
B;8;3;335,63
B;9;3;308,45
B;10;3;337,22
B;11;3;312,64
B;12;3;313,82
B;1;3;312,78
B;2;3;314,94
B;3;3;309,99
B;4;4;303,77
B;5;4;299,82
B;6;4;297,05
B;7;4;292,08
B;8;4;275,63
B;9;4;280,07
B;10;4;282,24
B;11;4;284,06
B;12;4;284,92
B;1;4;288,65
B;2;4;290,7
B;3;4;287,51
B;4;5;283,47
B;5;5;281,38
C;4;1;1286,12
C;5;1;1276,17
C;6;1;1278,19
C;7;1;1293,31
C;8;1;1407,03
C;9;1;1412,64
C;10;1;1419,86
C;11;1;1425,16
C;12;1;1433,26
C;1;1;1443,92
C;2;1;1449,69
C;3;1;1455,5
C;4;2;1461,84
C;5;2;1458,32
C;6;2;1453,56
C;7;2;1457,65
C;8;2;1458,49
C;9;2;1456,9
C;10;2;1460,78
C;11;2;1451,98
C;12;2;1452,37
C;1;2;1451,27
C;2;2;1467,14
C;3;2;1453,95
C;4;3;1451,05
C;5;3;1443,94
C;6;3;1440,49
C;7;3;1438,21
C;8;3;1441,85
C;9;3;1455,96
C;10;3;1460,44
C;11;3;1464,16
C;12;3;1463,85
C;1;3;1464,64
C;2;3;1303,41
C;3;3;1283,3
C;4;4;1432,32
C;5;4;1424,77
C;6;4;1427,62
C;7;4;1434,08
C;8;4;1441,01
C;9;4;1486,87
C;10;4;1515,03
C;11;4;1525,46
C;12;4;1528,54
C;1;4;1546,03
C;2;4;1555,01
C;3;4;1554,24
C;4;5;1561,35
C;5;5;1576,8
CA;4;1;139,7
CA;5;1;138,7
CA;6;1;136,7
CA;7;1;136,7
CA;8;1;137,7
CA;9;1;135,7
CA;10;1;132,7
CA;11;1;131,7
CA;12;1;130,82
CA;1;1;131,82
CA;2;1;131,06
CA;3;1;130,06
CA;4;2;129,06
CA;5;2;131,04
CA;6;2;129,04
CA;7;2;129,04
CA;8;2;128,04
CA;9;2;126,92
CA;10;2;127,92
CA;11;2;126,92
CA;12;2;125,92
CA;1;2;126,05
CA;2;2;154,06
CA;3;2;155,06
CA;4;3;156,33
CA;5;3;152,27
CA;6;3;153,27
CA;7;3;154,27
CA;8;3;152,39
CA;9;3;152,39
CA;10;3;161,39
CA;11;3;161,36
CA;12;3;159,36
CA;1;3;158,36
CA;2;3;0
CA;3;3;0
CA;4;4;160,38
CA;5;4;160,38
CA;6;4;158,38
CA;7;4;158,16
CA;8;4;158,56
CA;9;4;160,56
CA;10;4;165,56
CA;11;4;169,56
CA;12;4;173,56
CA;1;4;177,66
CA;2;4;179,66
CA;3;4;177,66
CA;4;5;178,66
CA;5;5;178,56
CB;4;1;309,18
CB;5;1;302,18
CB;6;1;302,18
CB;7;1;309,18
CB;8;1;310,18
CB;9;1;307,96
CB;10;1;314,23
CB;11;1;314,23
CB;12;1;315,23
CB;1;1;320,4
CB;2;1;317,4
CB;3;1;319,4
CB;4;2;327,45
CB;5;2;326,45
CB;6;2;323,45
CB;7;2;325,42
CB;8;2;324,42
CB;9;2;323,42
CB;10;2;323,24
CB;11;2;320,24
CB;12;2;326,24
CB;1;2;325,93
CB;2;2;322,93
CB;3;2;314,4
CB;4;3;301,52
CB;5;3;296,4
CB;6;3;293,4
CB;7;3;293,4
CB;8;3;291,4
CB;9;3;293,15
CB;10;3;291,23
CB;11;3;292,22
CB;12;3;295,22
CB;1;3;295,48
CB;2;3;293,23
CB;3;3;280,75
CB;4;4;281,04
CB;5;4;277,43
CB;6;4;276,93
CB;7;4;278,08
CB;8;4;279,08
CB;9;4;278,11
CB;10;4;281,65
CB;11;4;283,67
CB;12;4;282,67
CB;1;4;284,67
CB;2;4;286,46
CB;3;4;285,46
CB;4;5;285,95
CB;5;5;289,95
CC;4;1;44,98
CC;5;1;44,98
CC;6;1;46,98
CC;7;1;46,98
CC;8;1;45,98
CC;9;1;46,98
CC;10;1;44,98
CC;11;1;48,98
CC;12;1;49,98
CC;1;1;47,98
CC;2;1;48,98
CC;3;1;48,98
CC;4;2;48,18
CC;5;2;48,18
CC;6;2;50,18
CC;7;2;50,98
CC;8;2;52,98
CC;9;2;52,98
CC;10;2;52,73
CC;11;2;51,73
CC;12;2;51,73
CC;1;2;51,73
CC;2;2;52,73
CC;3;2;51,73
CC;4;3;58,93
CC;5;3;57,23
CC;6;3;57,23
CC;7;3;58,23
CC;8;3;57,84
CC;9;3;58,29
CC;10;3;55,91
CC;11;3;56,91
CC;12;3;54,91
CC;1;3;56,91
CC;2;3;58,03
CC;3;3;59,03
CC;4;4;59,28
CC;5;4;59,28
CC;6;4;61,28
CC;7;4;62,08
CC;8;4;63,08
CC;9;4;64,2
CC;10;4;79,58
CC;11;4;81,78
CC;12;4;81,74
CC;1;4;80,78
CC;2;4;80,56
CC;3;4;82,56
CC;4;5;83,52
CC;5;5;86,52
CD;4;1;792,26
CD;5;1;790,31
CD;6;1;792,33
CD;7;1;800,45
CD;8;1;913,17
CD;9;1;922
CD;10;1;927,95
CD;11;1;930,25
CD;12;1;937,23
CD;1;1;943,72
CD;2;1;952,25
CD;3;1;957,06
CD;4;2;957,15
CD;5;2;952,65
CD;6;2;950,89
CD;7;2;952,21
CD;8;2;953,05
CD;9;2;953,58
CD;10;2;956,89
CD;11;2;953,09
CD;12;2;948,48
CD;1;2;947,56
CD;2;2;937,42
CD;3;2;932,76
CD;4;3;934,27
CD;5;3;938,04
CD;6;3;936,59
CD;7;3;932,31
CD;8;3;940,22
CD;9;3;952,13
CD;10;3;951,91
CD;11;3;953,67
CD;12;3;954,36
CD;1;3;953,89
CD;2;3;952,15
CD;3;3;943,52
CD;4;4;931,62
CD;5;4;927,68
CD;6;4;931,03
CD;7;4;935,76
CD;8;4;940,29
CD;9;4;984
CD;10;4;988,24
CD;11;4;990,45
CD;12;4;990,57
CD;1;4;1002,92
CD;2;4;1008,33
CD;3;4;1008,56
CD;4;5;1013,22
CD;5;5;1021,77
